,0,1,2
2,52331225,39007693,39055809
3,46326325,51402003,50670953
4,45241566,48709606,46538017
11,37449900,46162327,59197233
12,42208955,41659413,49371467
17,49349189,59345457,42437890
19,38046960,41582197,40832139
20,43024745,40880557,39715510
33,51504424,52688784,47713145
38,59137975,59596712,52539011
43,45804068,35415469,42575915
48,40977158,53210440,52463740
51,53541969,58582746,55488553
54,35416525,38816955,39663096
57,35357577,36373747,53531819
58,52238583,53401432,53716804
59,37266872,34983520,40951825
62,43404198,38286704,51933266
70,45454253,46451888,39351573
73,35718652,40034424,53916442
75,51660958,45748476,40024370
87,45820881,56573258,40573796
100,39516731,35458158,35946078
102,41139525,54613467,46318606
104,53564268,40651771,43892837
106,42498875,39554423,48418625
109,38589227,55726886,38196923
114,48443899,34759443,58849339
118,40049648,57931117,48660515
119,34598363,49092995,53299659
125,55816792,41552895,57802420
128,39373844,58240575,50589063
134,53789726,56934826,45376747
138,46335751,51861023,50029315
147,59240905,48028676,46347520
148,46657813,37108911,59264814
153,40687027,35357577,54541933
155,38803486,42477091,42968600
164,43667745,42555142,41808888
166,58141175,39362764,36679959
169,41156691,51093945,40063649
170,53275582,48868719,55584391
172,36568178,40262623,44113359
178,60086999,34773317,53108852
180,35358038,55648028,56838304
181,43018840,42605727,41940333
182,48685681,41578521,53817144
195,45072255,34873166,51495351
210,41217923,35246581,53888389
217,40568758,58764722,58779800
220,44116194,55889445,52579282
229,55569929,46184561,50809147
233,46238100,46518037,42541559
235,46213416,51320177,46308357
236,48491694,42208660,38287374
248,53517971,43901635,46568444
256,38859941,36661848,55190694
259,58597067,35246581,40510022
273,40573839,41430362,43721121
274,58875681,39624745,55557177
286,60062617,44464835,49419874
290,45177482,41520305,44367082
311,41902065,45884192,59623748
312,39567387,41650778,50674972
314,41334164,44697455,58335968
325,38212841,48349579,45014038
327,53755851,52564107,34959257
329,55328577,42424213,35435691
338,35198925,41653180,36879381
340,41767788,39632713,36818185
342,58681082,40694598,41320266
346,55991660,41590361,44886902
356,58241403,54898413,55153256
368,52869419,44485082,45814507
373,51862570,39557772,34612223
376,48991959,46146860,46634776
377,45395694,44884927,49027631
383,45015058,43481518,50450987
384,46279505,51133463,43983286
387,51863899,37217283,43754772
398,42990942,40205349,49427944
399,47936999,43409806,42987939
405,51113118,54658881,48247489
407,41180228,38273434,36043670
409,57638040,38692881,56934710
